language_id,name
1,"Afar "
2,"Abkhazian "
3,"Afrikaans "
4,"Akan "
5,"Alemannic "
6,"Amharic "
7,"Aragonese "
8,"Anglo-Saxon / Old English "
9,"Arabic "
10,"Aramaic "
11,"Assamese "
12,"Asturian "
13,"Avar "
14,"Aymara "
15,"Azerbaijani "
16,"Bashkir "
17,"Bavarian "
18,"Samogitian "
19,"Bikol "
20,"Belarusian "
21,"Belarusian (Taraškievica) "
22,"Bulgarian "
23,"Bihari "
24,"Bislama "
25,"Bambara "
26,"Bengali "
27,"Tibetan "
28,"Bishnupriya Manipuri "
29,"Breton "
30,"Bosnian "
31,"Buginese "
32,"Buriat (Russia) "
33,"Catalan "
34,"Chechen "
35,"Cebuano "
36,"Chamorro "
37,"Choctaw "
38,"Cherokee "
39,"Cheyenne "
40,"Corsican "
41,"Cree "
42,"Czech "
43,"Kashubian "
44,"Old Church Slavonic / Old Bulgarian "
45,"Chuvash "
46,"Welsh "
47,"Danish "
48,"German "
49,"Dimli "
50,"Lower Sorbian "
51,"Divehi "
52,"Dzongkha "
53,"Ewe "
54,"Greek "
55,"English "
56,"Esperanto "
57,"Spanish "
58,"Estonian "
59,"Basque "
60,"Extremaduran "
61,"Persian "
62,"Peul "
63,"Finnish "
64,"Võro "
65,"Fijian "
66,"Faroese "
67,"French "
68,"Arpitan / Franco-Provençal "
69,"Friulian "
70,"West Frisian "
71,"Irish "
72,"Scottish Gaelic "
73,"Gilbertese "
74,"Galician "
75,"Guarani "
76,"Gothic "
77,"Gujarati "
78,"Manx "
79,"Hausa "
80,"Hawaiian "
81,"Hebrew "
82,"Hindi "
83,"Hiri Motu "
84,"Croatian "
85,"Haitian "
86,"Hungarian "
87,"Armenian "
88,"Herero "
89,"Interlingua "
90,"Indonesian "
91,"Interlingue "
92,"Igbo "
93,"Sichuan Yi "
94,"Inupiak "
95,"Ilokano "
96,"Ido "
97,"Icelandic "
98,"Italian "
99,"Inuktitut "
100,"Japanese "
101,"Lojban "
102,"Javanese "
103,"Georgian "
104,"Kongo "
105,"Kikuyu "
106,"Kuanyama "
107,"Kazakh "
108,"Greenlandic "
109,"Cambodian "
110,"Kannada "
111,"Khowar "
112,"Korean "
113,"Kanuri "
114,"Kashmiri "
115,"Ripuarian "
116,"Kurdish "
117,"Komi "
118,"Cornish "
119,"Kirghiz "
120,"Latin "
121,"Ladino / Judeo-Spanish "
122,"Lango "
123,"Luxembourgish "
124,"Ganda "
125,"Limburgian "
126,"Ligurian "
127,"Lombard "
128,"Lingala "
129,"Laotian "
130,"Lithuanian "
131,"Latvian "
132,"Banyumasan "
133,"Malagasy "
134,"Marshallese "
135,"Maori "
136,"Minangkabau "
137,"Macedonian "
138,"Malayalam "
139,"Mongolian "
140,"Moldovan "
141,"Marathi "
142,"Malay "
143,"Maltese "
144,"Creek / Muskogee "
145,"Burmese "
146,"Nauruan "
147,"Nahuatl "
148,"Neapolitan "
149,"North Ndebele "
150,"Low German / Low Saxon "
151,"Dutch Low Saxon "
152,"Nepali "
153,"Newar "
154,"Ndonga "
155,"Dutch "
156,"Norwegian Nynorsk "
157,"Norwegian "
158,"South Ndebele "
159,"Northern Sotho "
160,"Norman "
161,"Navajo "
162,"Chichewa "
163,"Occitan "
164,"Ojibwa "
165,"Oromo "
166,"Oriya "
167,"Ossetian / Ossetic "
168,"Panjabi / Punjabi "
169,"Pangasinan "
170,"Kapampangan "
171,"Papiamentu "
172,"Pennsylvania German "
173,"Pali "
174,"Norfolk "
175,"Polish "
176,"Piedmontese "
177,"Pashto "
178,"Portuguese "
179,"Quechua "
180,"Raeto Romance "
181,"Romani "
182,"Kirundi "
183,"Romanian "
184,"Aromanian "
185,"Russian "
186,"Rwandi "
187,"Sanskrit "
188,"Sardinian "
189,"Sicilian "
190,"Scots "
191,"Sindhi "
192,"Northern Sami "
193,"Sango "
194,"Serbo-Croatian "
195,"Sinhalese "
196,"Simple English "
197,"Slovak "
198,"Slovenian "
199,"Samoan "
200,"Shona "
201,"Somalia "
202,"Albanian "
203,"Serbian "
204,"Swati "
205,"Southern Sotho "
206,"Sundanese "
207,"Swedish "
208,"Swahili "
209,"Tamil "
210,"Telugu "
211,"Tetum "
212,"Tajik "
213,"Thai "
214,"Tigrinya "
215,"Turkmen "
216,"Tagalog / Filipino "
217,"Klingon "
218,"Tswana "
219,"Tonga "
220,"Tok Pisin "
221,"Turkish "
222,"Tsonga "
223,"Tatar "
224,"Tumbuka "
225,"Twi "
226,"Tahitian "
227,"Udmurt "
228,"Uyghur "
229,"Ukrainian "
230,"Urdu "
231,"Uzbek "
232,"Venda "
233,"Vietnamese "
234,"Venetian "
235,"West Flemish "
236,"Volapük "
237,"Walloon "
238,"Waray-Waray / Samar-Leyte Visayan "
239,"Wolof "
240,"Kalmyk "
241,"Xhosa "
242,"Yiddish "
243,"Yoruba "
244,"Zhuang "
245,"Chinese "
246,"Minnan "
247,"Cantonese "
248,"Zulu "
249,
250,"Traditional Chinese "
251,"Norwegian Bokmål "
252,"Traditional Chinese "
253,"tokipona "
